UTC Date & Time,CP Fuel Cons. limit
2021-08-13,32
2021-08-14,32
2021-08-15,32
2021-08-16,32
2021-08-16,32
2021-08-30,32
2021-08-31,32
2021-09-01,32
2021-09-02,32
2021-09-03,32
2021-09-28,32
2021-09-29,32
2021-09-29,32
2021-10-17,32
2021-10-18,32
2021-10-19,32
2021-10-20,32
2021-10-20,32
2021-10-21,32
2021-10-22,32
2021-10-23,32
2021-10-23,32
2021-11-05,32
2021-11-06,32
2021-11-07,32
2021-11-08,32
2021-11-08,32
2021-12-10,32
2021-12-10,32
2021-12-22,32
2021-12-24,32
2021-12-25,32
2021-12-25,32
2021-12-28,32
2021-12-29,32
2021-12-30,32
2021-12-30,32
2022-01-19,32
2022-01-20,32
2022-01-21,32
2022-01-22,32
2022-01-23,32
2022-01-24,32
2022-01-25,32
2022-01-26,32
2022-02-14,32
2022-02-18,32
2022-02-18,32
2022-04-03,32
2022-04-03,32
2022-04-16,32
2022-04-30,32
2022-05-01,32
2022-05-02,32
2022-05-02,32
2022-05-09,32
2022-05-10,32
2022-05-11,32
2022-05-12,32
2022-05-13,32
2022-05-14,32
2022-05-15,32
2022-05-16,32
2022-05-16,32
2022-05-18,32
2022-05-19,32
2022-05-20,32
2022-05-21,32
2022-05-22,32
2022-05-23,32
2022-05-23,32
2022-06-08,32
2022-06-09,32
2022-06-10,32
2022-06-11,32
2022-06-12,32
2022-06-13,32
2022-06-14,32
2022-06-15,32
2022-06-16,32
2022-06-16,32
2022-07-02,32
2022-07-03,32
2022-07-04,32
2022-07-05,32
2022-07-06,32
2022-07-07,32
2022-07-07,32
