UTC Date & Time,TOTAL FO Consumption / 24 hrs
2021-08-13,37.2
2021-08-14,36.8
2021-08-15,36
2021-08-16,36.2
2021-08-16,36.23
2021-08-30,35.92
2021-08-31,27.04
2021-09-01,38.6
2021-09-02,40.07
2021-09-03,39
2021-09-28,18.9
2021-09-29,24.2
2021-09-29,29
2021-10-17,37.15
2021-10-18,37
2021-10-19,36.8
2021-10-20,36.8
2021-10-20,34.58
2021-10-21,33.26
2021-10-22,35.8
2021-10-23,35.8
2021-10-23,33.09
2021-11-05,39.83
2021-11-06,40.86
2021-11-07,38.89
2021-11-08,36.9
2021-11-08,24.23
2021-12-10,41.68
2021-12-10,41.74
2021-12-22,36.77
2021-12-24,38.3
2021-12-25,29.3
2021-12-25,30.4
2021-12-28,35.52
2021-12-29,37.3
2021-12-30,36.8
2021-12-30,36
2022-01-19,37.12
2022-01-20,38.5
2022-01-21,34.5
2022-01-22,35.5
2022-01-23,35
2022-01-24,35
2022-01-25,36
2022-01-26,31.28
2022-02-14,37.46
2022-02-18,38.4
2022-02-18,34.37
2022-04-03,31.8
2022-04-03,19.56
2022-04-16,30.78
2022-04-30,31.68
2022-05-01,32
2022-05-02,32
2022-05-02,32.4
2022-05-09,31.4
2022-05-10,32
2022-05-11,31.5
2022-05-12,31.5
2022-05-13,31
2022-05-14,31
2022-05-15,31.2
2022-05-16,31.6
2022-05-16,33.21
2022-05-18,31.37
2022-05-19,31.3
2022-05-20,31.6
2022-05-21,32.16
2022-05-22,31.8
2022-05-23,31.74
2022-05-23,33.4
2022-06-08,29.18
2022-06-09,30
2022-06-10,29.7
2022-06-11,29.9
2022-06-12,29.87
2022-06-13,29.87
2022-06-14,30
2022-06-15,30
2022-06-16,29.9
2022-06-16,29.83
2022-07-02,30.51
2022-07-03,30.1
2022-07-04,29.7
2022-07-05,29.6
2022-07-06,29.95
2022-07-07,29.1
2022-07-07,29.49
