UTC Date & Time,FW production (MT) /24
2021-08-18,0
2021-08-19,21
2021-08-20,22
2021-08-21,21
2021-08-22,18
2021-08-23,18
2021-08-24,18
2021-08-25,0
2021-08-25,0
2021-09-09,0
2021-09-09,22.96
2021-09-11,22.74
2021-09-12,15.65
2021-09-13,15
2021-09-14,16.34
2021-09-15,18
2021-09-16,18
2021-09-17,18
2021-09-18,0
2021-09-19,17
2021-09-20,17
2021-09-21,17
2021-09-22,5
2021-09-22,0
2021-10-05,0
2021-10-06,9
2021-10-07,12
2021-10-08,16
2021-10-09,15
2021-10-10,15
2021-10-11,15
2021-10-12,4
2021-10-13,17.23
2021-10-27,27.54
2021-10-28,21
2021-10-29,21
2021-10-30,21
2021-10-31,21
2021-11-01,21
2021-11-02,2
2021-11-03,0
2021-11-15,0
2021-11-15,0
2021-11-16,0
2021-11-17,19
2021-11-18,19.83
2021-11-19,19.4
2021-11-20,17
2021-11-21,18
2021-11-22,20
2021-11-23,17
2021-11-24,18.38
2021-11-25,19
2021-11-26,19
2021-11-27,19
2021-11-28,9
2021-11-28,21.82
2021-12-13,27.06
2021-12-14,17.8
2021-12-15,14
2021-12-16,16.8
2021-12-17,15.4
2021-12-18,17.5
2021-12-19,0
2021-12-19,15.36
2022-01-04,48
2022-01-05,21
2022-01-06,21
2022-01-07,22
2022-01-08,15.27
2022-01-09,34.02
2022-01-10,18
2022-01-11,3
2022-01-11,0
2022-02-02,27.59
2022-02-04,20.5
2022-02-05,20
2022-02-06,19
2022-02-07,19
2022-02-08,21
2022-02-09,0
2022-02-09,16
2022-03-02,0
2022-03-03,21
2022-03-04,21
2022-03-06,21
2022-03-07,20
2022-03-08,21.91
2022-03-09,18
2022-03-10,21.5
2022-03-11,20.3
2022-03-12,20.73
2022-03-13,5.6
2022-03-13,0
2022-03-15,17.33
2022-03-16,30.45
2022-03-17,20.3
2022-03-18,21.3
2022-03-19,22.3
2022-03-20,20.3
2022-03-21,20.6
2022-03-22,21.2
2022-03-23,22.2
2022-03-24,25
2022-03-25,26.6
2022-03-26,27.6
2022-03-27,0
2022-03-27,0
2022-05-28,19.64
2022-05-29,19
2022-05-30,19
2022-05-31,19
2022-06-01,18
2022-06-02,18
2022-06-03,18
2022-06-04,19
2022-06-05,20
2022-06-06,16
2022-06-21,20.27
2022-06-22,18
2022-06-23,18
2022-06-24,19
2022-06-25,18
2022-06-26,18
2022-06-27,18
2022-06-28,18
2022-06-29,18
2022-06-29,0
