UTC Date & Time,Slip (%)
2021-08-18,17.75
2021-08-19,30.84
2021-08-20,28.83
2021-08-21,23.95
2021-08-22,25.66
2021-08-23,19.32
2021-08-24,25.67
2021-08-25,25.1
2021-08-25,28.61
2021-09-09,15.09
2021-09-09,32.08
2021-09-11,28.14
2021-09-12,31.46
2021-09-13,33.1
2021-09-14,31.08
2021-09-15,29.07
2021-09-16,29.02
2021-09-17,26.72
2021-09-18,26.15
2021-09-19,24.03
2021-09-20,25.19
2021-09-21,33.51
2021-09-22,32.63
2021-09-22,42.71
2021-10-05,11.1
2021-10-06,28.36
2021-10-07,30.55
2021-10-08,27.38
2021-10-09,26.49
2021-10-10,27.62
2021-10-11,24.92
2021-10-12,21.09
2021-10-13,24.64
2021-10-27,26.76
2021-10-28,23.99
2021-10-29,21.59
2021-10-30,23.52
2021-10-31,22.9
2021-11-01,21.9
2021-11-02,23.99
2021-11-03,29.11
2021-11-15,31.56
2021-11-15,45.66
2021-11-16,25.32
2021-11-17,31.57
2021-11-18,32.32
2021-11-19,31.6
2021-11-20,35.74
2021-11-21,33.23
2021-11-22,33.91
2021-11-23,31.21
2021-11-24,32.72
2021-11-25,53.51
2021-11-26,26.88
2021-11-27,26.71
2021-11-28,34.08
2021-11-28,65.77
2021-12-13,23.4
2021-12-14,32.98
2021-12-15,26.3
2021-12-16,16.28
2021-12-17,26.77
2021-12-18,20.63
2021-12-19,24.96
2021-12-19,30.3
2022-01-04,23.26
2022-01-05,28.65
2022-01-06,27.47
2022-01-07,15.58
2022-01-08,18.59
2022-01-09,21.79
2022-01-10,28.27
2022-01-11,26.84
2022-01-11,29.51
2022-02-02,21.09
2022-02-03,17.64
2022-02-04,24.26
2022-02-05,15.27
2022-02-06,18.43
2022-02-07,21.95
2022-02-08,21.23
2022-02-09,24.15
2022-02-09,39.39
2022-03-02,19.75
2022-03-03,23.84
2022-03-04,19.77
2022-03-06,22.77
2022-03-07,24.81
2022-03-08,32.9
2022-03-09,33.49
2022-03-10,32.07
2022-03-11,33.63
2022-03-12,35.16
2022-03-13,28.74
2022-03-13,30.59
2022-03-15,30.26
2022-03-16,4.67
2022-03-17,29.38
2022-03-18,29.74
2022-03-19,27.5
2022-03-20,26.56
2022-03-21,27.5
2022-03-22,27.2
2022-03-23,32.76
2022-03-24,31.95
2022-03-25,27.17
2022-03-26,33.66
2022-03-27,35
2022-03-27,31.54
2022-05-28,35.37
2022-05-29,34.5
2022-05-30,31.73
2022-05-31,24.85
2022-06-01,47.68
2022-06-02,34.46
2022-06-03,28.87
2022-06-04,30.02
2022-06-05,30.37
2022-06-06,28.68
2022-06-21,30.82
2022-06-22,30.51
2022-06-23,22.29
2022-06-24,36.38
2022-06-25,39.37
2022-06-26,34.28
2022-06-27,36.25
2022-06-28,35.93
2022-06-29,26.44
2022-06-29,8.54
