UTC Date & Time,Speed (KTS)
2021-08-18,10.6
2021-08-19,9.4
2021-08-20,9.7
2021-08-21,10.4
2021-08-22,10.2
2021-08-23,11
2021-08-24,10.2
2021-08-25,10.2
2021-08-25,9.7
2021-09-09,9
2021-09-09,9.1
2021-09-11,10
2021-09-12,9.6
2021-09-13,8.7
2021-09-14,9.5
2021-09-15,9
2021-09-16,10.4
2021-09-17,10.6
2021-09-18,10.2
2021-09-19,10.2
2021-09-20,10.9
2021-09-21,9.7
2021-09-22,9.8
2021-09-22,8.6
2021-10-05,11.4
2021-10-06,10.2
2021-10-07,9.7
2021-10-08,9.4
2021-10-09,10.1
2021-10-10,9.9
2021-10-11,10.3
2021-10-12,10.3
2021-10-13,9.7
2021-10-27,10
2021-10-28,10.5
2021-10-29,10.8
2021-10-30,10.5
2021-10-31,10
2021-11-01,10.4
2021-11-02,10.2
2021-11-03,9.6
2021-11-15,8.9
2021-11-15,8.6
2021-11-16,10
2021-11-17,9.7
2021-11-18,9.5
2021-11-19,9.6
2021-11-20,9
2021-11-21,9.1
2021-11-22,9.2
2021-11-23,9.8
2021-11-24,9.3
2021-11-25,6.5
2021-11-26,10.5
2021-11-27,11
2021-11-28,9.8
2021-11-28,9.5
2021-12-13,10.5
2021-12-14,9.5
2021-12-15,10.5
2021-12-16,12
2021-12-17,10.5
2021-12-18,11.4
2021-12-19,10.8
2021-12-19,10.2
2022-01-04,11
2022-01-05,10.5
2022-01-06,10.8
2022-01-07,12.4
2022-01-08,11.7
2022-01-09,10.7
2022-01-10,10
2022-01-11,10.2
2022-01-11,10.1
2022-02-02,9.8
2022-02-03,10.3
2022-02-04,9.4
2022-02-05,10.5
2022-02-06,10.1
2022-02-07,9.8
2022-02-08,9.8
2022-02-09,9.5
2022-02-09,8.4
2022-03-02,9.8
2022-03-03,9.3
2022-03-04,10
2022-03-06,9.7
2022-03-07,9.3
2022-03-08,8.5
2022-03-09,9.3
2022-03-10,9.5
2022-03-11,9.3
2022-03-12,9.2
2022-03-13,10
2022-03-13,9.9
2022-03-15,9.5
2022-03-16,9.3
2022-03-17,9.6
2022-03-18,9.6
2022-03-19,10
2022-03-20,10.3
2022-03-21,10.1
2022-03-22,10.1
2022-03-23,9.1
2022-03-24,9.2
2022-03-25,9.9
2022-03-26,8.9
2022-03-27,8.8
2022-03-27,9.3
2022-05-28,8.09
2022-05-29,8.08
2022-05-30,8.54
2022-05-31,7.46
2022-06-01,6.58
2022-06-02,8.21
2022-06-03,9.13
2022-06-04,9.04
2022-06-05,8.88
2022-06-06,9
2022-06-21,8.71
2022-06-22,8.88
2022-06-23,9.83
2022-06-24,8.13
2022-06-25,7.75
2022-06-26,8.33
2022-06-27,8.13
2022-06-28,8.17
2022-06-29,9.33
2022-06-29,11.54
