UTC Date & Time,Steaming time (HRS),FW production (MT),FW production (MT) /24
18-Aug-21,1.8,20,266.67
19-Aug-21,24,21,21
20-Aug-21,24,22,22
21-Aug-21,24,21,21
22-Aug-21,24,18,18
23-Aug-21,24,18,18
24-Aug-21,24,18,18
25-Aug-21,24,0,0
25-Aug-21,14.9,0,0
9-Sep-21,2,0,0
9-Sep-21,11.5,11,22.96
11-Sep-21,19,18,22.74
12-Sep-21,23,15,15.65
13-Sep-21,24,15,15
14-Sep-21,23.5,16,16.34
15-Sep-21,24,18,18
16-Sep-21,24,18,18
17-Sep-21,24,18,18
18-Sep-21,24,0,0
19-Sep-21,24,17,17
20-Sep-21,24,17,17
21-Sep-21,24,17,17
22-Sep-21,24,5,5
22-Sep-21,6.6,0,0
5-Oct-21,0.7,9,308.57
6-Oct-21,24,9,9
7-Oct-21,24,12,12
8-Oct-21,24,16,16
9-Oct-21,24,15,15
10-Oct-21,24,15,15
11-Oct-21,24,15,15
12-Oct-21,24,4,4
13-Oct-21,19.5,14,17.23
27-Oct-21,18.3,21,27.54
28-Oct-21,24,21,21
29-Oct-21,24,21,21
30-Oct-21,24,21,21
31-Oct-21,24,21,21
1-Nov-21,24,21,21
2-Nov-21,24,2,2
3-Nov-21,19.5,0,0
15-Nov-21,10.3,0,0
15-Nov-21,1.1,0,0
16-Nov-21,4.6,18,93.91
17-Nov-21,24,19,19
18-Nov-21,23,19,19.83
19-Nov-21,23.5,19,19.4
20-Nov-21,24,17,17
21-Nov-21,24,18,18
22-Nov-21,24,20,20
23-Nov-21,24,17,17
24-Nov-21,23.5,18,18.38
25-Nov-21,24,19,19
26-Nov-21,24,19,19
27-Nov-21,24,19,19
28-Nov-21,24,9,9
28-Nov-21,12.1,11,21.82
13-Dec-21,15.7,17.7,27.06
14-Dec-21,24,17.8,17.8
15-Dec-21,24,14,14
16-Dec-21,24,16.8,16.8
17-Dec-21,24,15.4,15.4
18-Dec-21,24,17.5,17.5
19-Dec-21,24,0,0
19-Dec-21,12.5,8,15.36
4-Jan-22,9,18,48
5-Jan-22,24,21,21
6-Jan-22,24,21,21
7-Jan-22,24,22,22
8-Jan-22,22,14,15.27
9-Jan-22,12.7,18,34.02
10-Jan-22,24,18,18
11-Jan-22,24,3,3
11-Jan-22,8.5,0,0
2-Feb-22,17.4,20,27.59
4-Feb-22,24,20.5,20.5
5-Feb-22,24,20,20
6-Feb-22,24,19,19
7-Feb-22,24,19,19
8-Feb-22,24,21,21
9-Feb-22,24,0,0
9-Feb-22,4.5,3,16
2-Mar-22,8,22,66
3-Mar-22,24,21,21
4-Mar-22,24,21,21
6-Mar-22,24,21,21
7-Mar-22,24,20,20
8-Mar-22,23,21,21.91
9-Mar-22,24,18,18
10-Mar-22,23,20.6,21.5
11-Mar-22,24,20.3,20.3
12-Mar-22,23.5,20.3,20.73
13-Mar-22,24,5.6,5.6
13-Mar-22,6.5,12.7,46.89
15-Mar-22,18,13,17.33
16-Mar-22,16,20.3,30.45
17-Mar-22,24,20.3,20.3
18-Mar-22,24,21.3,21.3
19-Mar-22,24,22.3,22.3
20-Mar-22,24,20.3,20.3
21-Mar-22,24,20.6,20.6
22-Mar-22,24,21.2,21.2
23-Mar-22,24,22.2,22.2
24-Mar-22,24,25,25
25-Mar-22,24,26.6,26.6
26-Mar-22,24,27.6,27.6
27-Mar-22,24,0,0
27-Mar-22,8,0,0
28-May-22,11,9,19.64
29-May-22,24,19,19
30-May-22,24,19,19
31-May-22,24,19,19
1-Jun-22,24,18,18
2-Jun-22,24,18,18
3-Jun-22,24,18,18
4-Jun-22,24,19,19
5-Jun-22,24,20,20
6-Jun-22,21,14,16
21-Jun-22,22.5,19,20.27
22-Jun-22,24,18,18
23-Jun-22,24,18,18
24-Jun-22,24,19,19
25-Jun-22,24,18,18
26-Jun-22,24,18,18
27-Jun-22,24,18,18
28-Jun-22,24,18,18
29-Jun-22,24,18,18
29-Jun-22,1.3,,
