UTC Date & Time,Voyage No.,Instructed Speed,CP Fuel Cons. Limit,SS/HS/PS,Steaming time (HRS),Speed (KTS),Slip (%),Wind force,ME FO Consumption,Total FO Consumption,ME FO Consumption / 24 hrs,TOTAL FO Consumption / 24 hrs
18-Aug-21,01 L,11,36,SS,1.8,10.6,17.75,6,2.8,3.07,37.33,40.93
19-Aug-21,01 L,11,36,SS,24,9.4,30.84,6,33.5,36.8,33.5,36.8
20-Aug-21,01 L,11,36,SS,24,9.7,28.83,5,33.5,36.8,33.5,36.8
21-Aug-21,01 L,11,36,SS,24,10.4,23.95,5,33.5,36.8,33.5,36.8
22-Aug-21,01 L,11,36,SS,24,10.2,25.66,5,33.5,36.8,33.5,36.8
23-Aug-21,01 L,11,36,SS,24,11,19.32,4,33.5,36.8,33.5,36.8
24-Aug-21,01 L,11,36,SS,24,10.2,25.67,3,33.5,36.8,33.5,36.8
25-Aug-21,01 L,11,36,SS,24,10.2,25.1,3,33.5,36.8,33.5,36.8
25-Aug-21,01 L,11,36,SS,14.9,9.7,28.61,3,20.8,22.84,33.5,36.79
9-Sep-21,02 L,11,36,SS,2,9,15.09,3,2.5,2.72,30,32.64
9-Sep-21,02 L,11,36,SS,11.5,9.1,32.08,3,17.63,19.21,36.79,40.09
11-Sep-21,02L1,11,36,SS,19,10,28.14,4,27.7,30.07,34.99,37.98
12-Sep-21,02L1,11,36,SS,23,9.6,31.46,5,33.54,36.41,35,37.99
13-Sep-21,02L1,11,36,SS,24,8.7,33.1,5,31.3,34.06,31.3,34.06
14-Sep-21,02L1,11,36,SS,23.5,9.5,31.08,5,33.29,36.22,34,36.99
15-Sep-21,02L1,11,36,SS,24,9,29.07,5,30.25,33.36,30.25,33.36
16-Sep-21,02L1,11,36,SS,24,10.4,29.02,4,38.5,41.5,38.5,41.5
17-Sep-21,02L1,11,36,SS,24,10.6,26.72,4,38,41,38,41
18-Sep-21,02L1,11,36,SS,24,10.2,26.15,4,32,34.8,32,34.8
19-Sep-21,02L1,11,36,SS,24,10.2,24.03,4,34.15,37.07,34.15,37.07
20-Sep-21,02L1,11,36,SS,24,10.9,25.19,3,39,41.9,39,41.9
21-Sep-21,02L1,11,36,SS,24,9.7,33.51,3,39,42,39,42
22-Sep-21,02L1,11,36,SS,24,9.8,32.63,4,38.5,41.5,38.5,41.5
22-Sep-21,02L1,11,36,SS,6.6,8.6,42.71,4,10.5,11.3,38.18,41.09
5-Oct-21,03 L,12,40,SS,0.7,11.4,-11.11,2,1.1,1.2,37.71,41.14
6-Oct-21,03 L,12,40,SS,24,10.2,28.36,4,38,41,38,41
7-Oct-21,03 L,12,40,SS,24,9.7,30.55,3,38,41,38,41
8-Oct-21,03 L,12,40,SS,24,9.4,27.38,6,38,41,38,41
9-Oct-21,03 L,12,40,SS,24,10.1,26.49,4,38.5,41.5,38.5,41.5
10-Oct-21,03 L,12,40,SS,24,9.9,27.62,4,38.5,41.5,38.5,41.5
11-Oct-21,03 L,12,40,SS,24,10.3,24.92,4,38,41,38,41
12-Oct-21,03 L,12,40,SS,24,10.3,21.09,4,36,38.8,36,38.8
13-Oct-21,03 L,12,40,SS,19.5,9.7,24.64,2,33,35.8,40.62,44.06
27-Oct-21,04 L,11,36,SS,18.3,10,26.76,4,27.45,29.65,36,38.89
28-Oct-21,04 L,11,36,SS,24,10.5,23.99,3,36,39,36,39
29-Oct-21,04 L,11,36,SS,24,10.8,21.59,3,37,40,37,40
30-Oct-21,04 L,11,36,SS,24,10.5,23.52,4,40.5,43.5,40.5,43.5
31-Oct-21,04 L,11,36,SS,24,10,22.9,5,33.94,36.94,33.94,36.94
1-Nov-21,04 L,11,36,SS,24,10.4,21.9,3,37,40,37,40
2-Nov-21,04 L,11,36,SS,24,10.2,23.99,3,37,40,37,40
3-Nov-21,04 L,11,36,SS,19.5,9.6,29.11,3,31.08,33.88,38.25,41.7
15-Nov-21,05 L1,11,36,SS,10.3,8.9,31.56,3,17.5,19,40.78,44.27
15-Nov-21,05 L1,11,36,SS,1.1,8.6,45.66,3,2.8,2.97,61.09,64.8
16-Nov-21,05 L2,11,36,SS,4.6,10,25.32,2,7.7,8.38,40.17,43.72
17-Nov-21,05 L2,11,36,SS,24,9.7,31.57,3,42.5,46,42.5,46
18-Nov-21,05 L2,11,36,SS,23,9.5,32.32,5,38,41.3,39.65,43.1
19-Nov-21,05 L2,11,36,SS,23.5,9.6,31.6,5,40,43.4,40.85,44.32
20-Nov-21,05 L2,11,36,SS,24,9,35.74,6,41.26,44.76,41.26,44.76
21-Nov-21,05 L2,11,36,SS,24,9.1,33.23,6,38.6,42.1,38.6,42.1
22-Nov-21,05 L2,11,36,SS,24,9.2,33.91,5,39.65,43.15,39.65,43.15
23-Nov-21,05 L2,11,36,SS,24,9.8,31.21,5,42.16,45.66,42.16,45.66
24-Nov-21,05 L2,11,36,SS,23.5,9.3,32.72,5,40.3,43.82,41.16,44.75
25-Nov-21,05 L2,11,36,SS,24,6.5,53.51,4,40.98,44.48,40.98,44.48
26-Nov-21,05 L2,11,36,SS,24,10.5,26.88,4,45,48.3,45,48.3
27-Nov-21,05 L2,11,36,SS,24,11,26.71,4,49,52.3,49,52.3
28-Nov-21,05 L2,11,36,SS,24,9.8,34.08,5,48,51.3,48,51.3
28-Nov-21,05 L2,11,36,SS,12.1,9.5,65.77,3,23.5,25.1,46.61,49.79
13-Dec-21,06 L,11,36,SS,15.7,10.5,23.4,5,25.3,26.8,38.68,40.97
14-Dec-21,06 L,11,36,SS,24,9.5,32.98,5,41.7,44,41.7,44
15-Dec-21,06 L,11,36,SS,24,10.5,26.3,4,42,44.3,42,44.3
16-Dec-21,06 L,11,36,SS,24,12,16.28,5,42,44.3,42,44.3
17-Dec-21,06 L,11,36,SS,24,10.5,26.77,4,42,44.3,42,44.3
18-Dec-21,06 L,11,36,SS,24,11.4,20.63,4,41.9,44.2,41.9,44.2
19-Dec-21,06 L,11,36,SS,24,10.8,24.96,4,42,44.3,42,44.3
19-Dec-21,06 L,11,36,SS,12.5,10.2,30.3,3,21.5,22.8,41.28,43.78
4-Jan-22,07 L,11,36,SS,9,11,23.26,3,14.5,15.3,38.67,40.8
5-Jan-22,07 L,11,36,SS,24,10.5,28.65,4,40,42.3,40,42.3
6-Jan-22,07 L,11,36,SS,24,10.8,27.47,4,40.5,42.8,40.5,42.8
7-Jan-22,07 L,11,36,SS,24,12.4,15.58,3,41,43.3,41,43.3
8-Jan-22,07 L,11,36,SS,22,11.7,18.59,3,36,37.8,39.27,41.24
9-Jan-22,07 L-1,11,36,SS,12.7,10.7,21.79,3,19,20.1,35.91,37.98
10-Jan-22,07 L-1,11,36,SS,24,10,28.27,4,37,39.2,37,39.2
11-Jan-22,07 L-1,11,36,SS,24,10.2,26.84,4,37.5,39.7,37.5,39.7
11-Jan-22,07 L-1,11,36,SS,8.5,10.1,29.51,4,13,13.7,36.71,38.68
2-Feb-22,08L,11,36,SS,17.4,9.8,21.09,3,27.5,28.9,37.93,39.86
3-Feb-22,08L,11,36,SS,24,10.3,17.64,3,37.5,39.5,37.5,39.5
4-Feb-22,08L,11,36,SS,24,9.4,24.26,2,37.5,39.5,37.5,39.5
5-Feb-22,08L,11,36,SS,24,10.5,15.27,3,37.5,39.5,37.5,39.5
6-Feb-22,08L,11,36,SS,24,10.1,18.43,3,37.2,39.2,37.2,39.2
7-Feb-22,08L,11,36,SS,24,9.8,21.95,4,37.7,39.7,37.7,39.7
8-Feb-22,08L,11,36,SS,24,9.8,21.23,3,38,40,38,40
9-Feb-22,08L,11,36,SS,24,9.5,24.15,3,38,40,38,40
9-Feb-22,08L,11,36,SS,4.5,8.4,39.39,3,7.1,7.5,37.87,40
2-Mar-22,09 L,11,36,SS,8,9.8,19.75,3,11.8,12.4,35.4,37.2
3-Mar-22,09 L,11,36,SS,24,9.3,23.84,3,37,38.9,37,38.9
4-Mar-22,09 L,11,36,SS,24,10,19.77,3,38.1,40,38.1,40
6-Mar-22,09 L,11,36,SS,24,9.7,22.77,3,38.9,40.8,38.9,40.8
7-Mar-22,09 L,11,36,SS,24,9.3,24.81,4,38,40,38,40
8-Mar-22,09 L,11,36,SS,23,8.5,32.9,4,37.6,39.6,39.23,41.32
9-Mar-22,09 L,11,36,SS,24,9.3,33.49,4,38.5,40.5,38.5,40.5
10-Mar-22,09 L,11,36,SS,23,9.5,32.07,4,37,38.9,38.61,40.59
11-Mar-22,09 L,11,36,SS,24,9.3,33.63,4,38.5,40.5,38.5,40.5
12-Mar-22,09 L,11,36,SS,23.5,9.2,35.16,3,37.5,39.5,38.3,40.34
13-Mar-22,09 L,11,36,SS,24,10,28.74,3,39,41,39,41
13-Mar-22,09 L,11,36,SS,6.5,9.9,30.59,3,9.9,10.5,36.55,38.77
15-Mar-22,09 L,11,36,SS,18,9.5,30.26,1,26.5,27.9,35.33,37.2
16-Mar-22,09 L,11,36,SS,16,9.3,4.67,2,23.6,25.7,35.4,38.55
17-Mar-22,09 L,11,36,SS,24,9.6,29.38,3,33.5,35.5,33.5,35.5
18-Mar-22,09 L,11,36,SS,24,9.6,29.74,4,35,37,35,37
19-Mar-22,09 L,11,36,SS,24,10,27.5,4,36,38,36,38
20-Mar-22,09 L,11,36,SS,24,10.3,26.56,3,37,39,37,39
21-Mar-22,09 L,11,36,SS,24,10.1,27.5,3,36,38,36,38
22-Mar-22,09 L,11,36,SS,24,10.1,27.2,4,36,38,36,38
23-Mar-22,09 L,11,36,SS,24,9.1,32.76,6,35.5,37.5,35.5,37.5
24-Mar-22,09 L,11,36,SS,24,9.2,31.95,6,35.5,37.5,35.5,37.5
25-Mar-22,09 L,11,36,SS,24,9.9,27.17,6,34.6,36.6,34.6,36.6
26-Mar-22,09 L,11,36,SS,24,8.9,33.66,6,33.8,35.8,33.8,35.8
27-Mar-22,09 L,11,36,SS,24,8.8,35,6,34,36,34,36
